question,answer,question_sw,answer_sw
I am feeling extremely anxious and depressed. Is this because of PMS?,You might have PMS if you notice signs that: Start 5 days before your period for 3 menstrual cycles in a row Stop within 4 days after your period begins Make it hard for you to do your normal activities Keep a note of your symptoms and how bad they are for a few months to help your doctor understand your condition better.,"Je, hii ni kwa sababu ya dalili za kabla ya hedhi?","Unaweza kuwa na dalili za kabla ya hedhi ukiona dalili zinazoonyesha kwamba: Anza siku 5 kabla ya vipindi 3 vya hedhi kabla ya kipindi hicho kwisha baada ya siku 4 baada ya kipindi hicho kuanza kufanya kazi zako za kawaida, hakikisha kwamba dalili zako ni mbaya na kwamba ni mbaya sana kwa miezi michache ili kumsaidia daktari aelewe hali yako vizuri zaidi."
I feel exhausted and my body is aching a lot. Could this be due to PMS?,You might have PMS if you notice signs that: Start 5 days before your period for 3 menstrual cycles in a row Stop within 4 days after your period begins Make it hard for you to do your normal activities Keep a note of your symptoms and how bad they are for a few months to help your doctor understand your condition better.,"Je, hii ingeweza kuwa kwa sababu ya dalili za kabla ya hedhi?","Unaweza kuwa na dalili za kabla ya hedhi ukiona dalili zinazoonyesha kwamba: Anza siku 5 kabla ya vipindi 3 vya hedhi kabla ya kipindi hicho kwisha baada ya siku 4 baada ya kipindi hicho kuanza kufanya kazi zako za kawaida, hakikisha kwamba dalili zako ni mbaya na kwamba ni mbaya sana kwa miezi michache ili kumsaidia daktari aelewe hali yako vizuri zaidi."
I have been feeling emotional and unable to concentrate. Is it possible that I am experiencing PMS?,You might have PMS if you notice signs that: Start 5 days before your period for 3 menstrual cycles in a row Stop within 4 days after your period begins Make it hard for you to do your normal activities Keep a note of your symptoms and how bad they are for a few months to help your doctor understand your condition better.,"Je, inawezekana kwamba nina dalili za kabla ya hedhi?","Unaweza kuwa na dalili za kabla ya hedhi ukiona dalili zinazoonyesha kwamba: Anza siku 5 kabla ya vipindi 3 vya hedhi kabla ya kipindi hicho kwisha baada ya siku 4 baada ya kipindi hicho kuanza kufanya kazi zako za kawaida, hakikisha kwamba dalili zako ni mbaya na kwamba ni mbaya sana kwa miezi michache ili kumsaidia daktari aelewe hali yako vizuri zaidi."
What are the symptoms of PMS?,You might have PMS if you notice signs that: Start 5 days before your period for 3 menstrual cycles in a row Stop within 4 days after your period begins Make it hard for you to do your normal activities Keep a note of your symptoms and how bad they are for a few months to help your doctor understand your condition better.,Dalili za dalili za dalili za kabla ya hedhi ni zipi?,"Unaweza kuwa na dalili za kabla ya hedhi ukiona dalili zinazoonyesha kwamba: Anza siku 5 kabla ya vipindi 3 vya hedhi kabla ya kipindi hicho kwisha baada ya siku 4 baada ya kipindi hicho kuanza kufanya kazi zako za kawaida, hakikisha kwamba dalili zako ni mbaya na kwamba ni mbaya sana kwa miezi michache ili kumsaidia daktari aelewe hali yako vizuri zaidi."
How to recognize that I am having PMS?,You might have PMS if you notice signs that: Start 5 days before your period for 3 menstrual cycles in a row Stop within 4 days after your period begins Make it hard for you to do your normal activities Keep a note of your symptoms and how bad they are for a few months to help your doctor understand your condition better.,Jinsi gani kutambua kwamba nina dalili za kabla ya hedhi?,"Unaweza kuwa na dalili za kabla ya hedhi ukiona dalili zinazoonyesha kwamba: Anza siku 5 kabla ya vipindi 3 vya hedhi kabla ya kipindi hicho kwisha baada ya siku 4 baada ya kipindi hicho kuanza kufanya kazi zako za kawaida, hakikisha kwamba dalili zako ni mbaya na kwamba ni mbaya sana kwa miezi michache ili kumsaidia daktari aelewe hali yako vizuri zaidi."
Is there a way to identify when PMS is starting?,You might have PMS if you notice signs that: Start 5 days before your period for 3 menstrual cycles in a row Stop within 4 days after your period begins Make it hard for you to do your normal activities Keep a note of your symptoms and how bad they are for a few months to help your doctor understand your condition better.,"Je, kuna njia ya kutambua wakati dalili za kabla ya hedhi zinaanza?","Unaweza kuwa na dalili za kabla ya hedhi ukiona dalili zinazoonyesha kwamba: Anza siku 5 kabla ya vipindi 3 vya hedhi kabla ya kipindi hicho kwisha baada ya siku 4 baada ya kipindi hicho kuanza kufanya kazi zako za kawaida, hakikisha kwamba dalili zako ni mbaya na kwamba ni mbaya sana kwa miezi michache ili kumsaidia daktari aelewe hali yako vizuri zaidi."
What should I do to help my doctor understand my PMS better?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Ninapaswa kufanya nini ili kumsaidia daktari kuelewa vizuri dalili zangu za kabla ya hedhi?,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
How can I help my wife's doctor understand her PMS better?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Ninaweza kumsaidiaje daktari wa mke wangu aelewe vizuri dalili zake za kabla ya hedhi?,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
How can I aid my daughter's doctor in understanding her PMS?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Ninaweza kumsaidiaje daktari wa binti yangu aelewe dalili zake za kabla ya hedhi?,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
What steps can I take to help my sister's doctor comprehend her PMS?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Ninaweza kuchukua hatua gani ili kumsaidia daktari wa dada yangu aelewe dalili zake za kabla ya hedhi?,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
How can I explain my premenstrual symptoms to my doctor so that he/she can diagnose me accurately?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Naweza kumwelezaje daktari wangu dalili zangu za kabla ya hedhi ili aweze kunipima kwa usahihi?,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
What can I do to help my doctor in understanding my PMS better?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Naweza kufanya nini ili kusaidia daktari wangu aelewe dalili zangu za kabla ya hedhi vizuri zaidi?,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
Is there any way I can make it easier for my doctor to understand the changes my body is going through due to premenstrual syndrome?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,"Je, kuna njia yoyote ya kufanya iwe rahisi kwa daktari kuelewa mabadiliko ambayo mwili wangu unapitia kwa sababu ya ugonjwa wa kabla ya hedhi?",Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
My doctor does not seem to understand that my mood swings are because of my PMS. How can I make her understand this?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Daktari wangu haelewi kwamba hisia zangu hubadilika - badilika kwa sababu ya dalili zangu za kabla ya hedhi.,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
"My doctor prescribed me medicine for my PMS symptoms, but the medicines seem to not have any effect. What should I do to help her understand my symptoms better?",Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,"Daktari wangu alinipa dawa kwa ajili ya dalili zangu za kabla ya hedhi, lakini inaonekana kwamba dawa hizo hazina athari yoyote.",Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
My doctor is not responsive to my PMS symptoms. How can I make her understand my condition better so that she can provide me with better treatment?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Daktari wangu haitikii dalili zangu za kabla ya hedhi. Naweza kumfanyaje aelewe hali yangu vizuri zaidi ili aweze kunipa matibabu bora zaidi?,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
What kind of information should I provide to my doctor to help them diagnose PMS?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Ninapaswa kumpa daktari wangu habari gani ili kuwasaidia kutambua dalili za kabla ya hedhi?,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
How should I prepare myself to help my doctor understand my PMS better?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Nitajitayarishaje kumsaidia daktari wangu aelewe vizuri dalili zangu za kabla ya hedhi?,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
What kind of questions should I ask my doctor to help them understand my premenstrual symptoms more accurately?,Write down your PMS symptoms each day on a calendar or an app on your phone for a few months. Note how severe they are and share this information with your doctor during your visit.,Ni lazima nimwombe daktari wangu awasaidie kuelewa dalili zangu za kabla ya hedhi kwa usahihi zaidi.,Andika dalili zako za kabla ya hedhi kila siku kwenye kalenda au programu kwenye simu yako kwa miezi michache.
Can PMS make other health problems worse?,"Yes, PMS can make some health problems worse, such as: Depression and anxiety Chronic fatigue syndrome Irritable bowel syndrome Bladder pain syndrome It can also affect asthma, allergies, and migraines.","Je, dalili za kabla ya hedhi zinaweza kufanya matatizo mengine ya afya yawe mabaya zaidi?","Naam, dalili za kabla ya hedhi zinaweza kufanya matatizo fulani ya afya yawe mabaya zaidi, kama vile: Ugonjwa wa kushuka moyo na wasiwasi unaosababishwa na uchovu unaosababishwa na tumbo unaweza pia kusababisha ugonjwa wa pumu, mizio, na kipandauso."
Can PMS symptoms worsen my wife's existing health issues?,"Yes, PMS can make some health problems worse, such as: Depression and anxiety Chronic fatigue syndrome Irritable bowel syndrome Bladder pain syndrome It can also affect asthma, allergies, and migraines.","Je, dalili za kabla ya hedhi zinaweza kuzidisha matatizo ya afya ya mke wangu?","Naam, dalili za kabla ya hedhi zinaweza kufanya matatizo fulani ya afya yawe mabaya zaidi, kama vile: Ugonjwa wa kushuka moyo na wasiwasi unaosababishwa na uchovu unaosababishwa na tumbo unaweza pia kusababisha ugonjwa wa pumu, mizio, na kipandauso."
Does my daughter's PMS symptoms have an adverse affect on her health?,"Yes, PMS can make some health problems worse, such as: Depression and anxiety Chronic fatigue syndrome Irritable bowel syndrome Bladder pain syndrome It can also affect asthma, allergies, and migraines.","Je, dalili za kabla ya hedhi za binti yangu huathiri sana afya yake?","Naam, dalili za kabla ya hedhi zinaweza kufanya matatizo fulani ya afya yawe mabaya zaidi, kama vile: Ugonjwa wa kushuka moyo na wasiwasi unaosababishwa na uchovu unaosababishwa na tumbo unaweza pia kusababisha ugonjwa wa pumu, mizio, na kipandauso."
